model,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std
Quantum Convolutional Neural Network,0.8703703703703703,0.0624571183482965,0.8703703703703702,0.062457118348296474,0.9226600985221675,0.034513240105040095,0.8055555555555555,0.09886183566695657,0.8586427656850192,0.07046892508460226,0.9333847736625515,0.04453229438780228,0.43270466418729897,0.043379417041782574,38.7397367846667,0.5382930226406796
Logistic Regression,0.46296296296296297,0.028538953717448957,0.46296296296296297,0.028538953717448957,0.46123396123396126,0.03095334353051368,0.4444444444444444,0.0392837100659193,0.45242160394036507,0.033960684798140316,0.4729938271604938,0.05239343364819438,0.7206844604551906,0.017215534092549462,0.003157034666628533,0.0003706236502648806
RBF SVM,0.9953703703703703,0.0065472850109865284,0.9953703703703703,0.0065472850109865284,1.0,0.0,0.9907407407407408,0.013094570021973107,0.9953051643192489,0.006639500292831424,1.0,0.0,0.01809156260301473,0.004303423852868571,0.006759979333385975,0.0006997902021624846
Neural Network,0.9953703703703703,0.0065472850109865284,0.9953703703703703,0.0065472850109865284,1.0,0.0,0.9907407407407408,0.013094570021973107,0.9953051643192489,0.006639500292831424,1.0,0.0,0.009253166589284339,0.011881493233122762,0.005199277333228262,0.0016073675044360018
