repeat,probe,setting,trials,clean_accuracy,perturbed_accuracy_mean,perturbed_accuracy_std,accuracy_change
0,parameter_noise,0.04,10,0.9583333333333334,0.9319444444444442,0.0325427069829444,-0.026388888888889128
0,finite_shots,256.0,10,0.9583333333333334,0.9277777777777778,0.013608276348795434,-0.030555555555555558
1,parameter_noise,0.04,10,0.8333333333333334,0.8430555555555556,0.010847568994314803,0.009722222222222188
1,finite_shots,256.0,10,0.8333333333333334,0.8291666666666666,0.02711002957769881,-0.004166666666666763
2,parameter_noise,0.04,10,0.8194444444444444,0.8166666666666667,0.030301978096210318,-0.002777777777777768
2,finite_shots,256.0,10,0.8194444444444444,0.8180555555555555,0.025946585683707522,-0.001388888888888884
