repeat,split_seed,model,complexity_value,complexity_unit,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,log_loss,fit_seconds
0,10042,Quantum Convolutional Neural Network,14,trainable_parameters,0.9583333333333334,0.9583333333333333,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9953703703703703,0.3732569659960754,39.350932575000115
0,10042,Logistic Regression,9,trainable_parameters,0.4583333333333333,0.4583333333333333,0.4594594594594595,0.4722222222222222,0.4657534246575342,0.4853395061728395,0.7373959422216736,0.0035253280000233644
0,10042,RBF SVM,28,support_vectors,1.0,1.0,1.0,1.0,1.0,1.0,0.013767156740950495,0.007438548999971317
0,10042,Neural Network,81,trainable_parameters,1.0,1.0,1.0,1.0,1.0,1.0,0.001484049951298254,0.00715883899988512
1,10043,Quantum Convolutional Neural Network,14,trainable_parameters,0.8333333333333334,0.8333333333333333,0.9,0.75,0.8181818181818182,0.8927469135802469,0.44930833343844095,38.82716413899993
1,10043,Logistic Regression,9,trainable_parameters,0.4305555555555556,0.4305555555555556,0.42424242424242425,0.3888888888888889,0.4057971014492754,0.40354938271604934,0.7276619091949198,0.00329586299994844
1,10043,RBF SVM,27,support_vectors,1.0,1.0,1.0,1.0,1.0,1.0,0.016545151137636025,0.007044567000093593
1,10043,Neural Network,81,trainable_parameters,0.9861111111111112,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,1.0,0.026040648692138884,0.005217260999870632
2,10044,Quantum Convolutional Neural Network,14,trainable_parameters,0.8194444444444444,0.8194444444444444,0.896551724137931,0.7222222222222222,0.8,0.912037037037037,0.47554869312738074,38.04111364000005
2,10044,Logistic Regression,9,trainable_parameters,0.5,0.5,0.5,0.4722222222222222,0.4857142857142857,0.5300925925925926,0.6969955299489783,0.002649912999913795
2,10044,RBF SVM,28,support_vectors,0.9861111111111112,0.9861111111111112,1.0,0.9722222222222222,0.9859154929577465,1.0,0.02396237993045767,0.005796822000093016
2,10044,Neural Network,81,trainable_parameters,1.0,1.0,1.0,1.0,1.0,1.0,0.00023480112441587894,0.003221731999929034
